id,date,platform,post_type,likes,shares,comments,views,updated_at
1,2026-01-03,Instagram,video,340,45,28,4200,2026-01-08 18:07:21.208181
2,2026-01-04,Facebook,image,210,18,14,1900,2026-01-08 18:07:21.208181
3,2026-01-05,Twitter,text,95,22,9,760,2026-01-08 18:07:21.208181
4,2026-01-06,TikTok,video,1200,180,95,15000,2026-01-08 18:07:21.208181
5,2026-01-07,LinkedIn,article,160,12,6,1100,2026-01-08 18:07:21.208181
6,2026-01-08,Instagram,reel,890,110,64,9800,2026-01-08 18:07:21.208181
7,2026-01-09,Facebook,video,430,55,31,5200,2026-01-08 18:07:21.208181
8,2026-01-10,Twitter,image,130,27,11,900,2026-01-08 18:07:21.208181
9,2026-01-11,TikTok,video,2400,310,180,28000,2026-01-08 18:07:21.208181
10,2026-01-12,Instagram,carousel,560,72,39,6100,2026-01-08 18:07:21.208181
11,2026-01-13,LinkedIn,article,220,18,10,1700,2026-01-08 18:07:21.208181
12,2026-01-14,Facebook,text,90,8,5,650,2026-01-08 18:07:21.208181
13,2026-01-15,Twitter,poll,175,40,20,1300,2026-01-08 18:07:21.208181
14,2026-01-16,TikTok,video,3100,420,250,36000,2026-01-08 18:07:21.208181
15,2026-01-17,Instagram,image,260,30,17,2300,2026-01-08 18:07:21.208181
16,2026-01-18,Facebook,video,510,63,42,6800,2026-01-08 18:07:21.208181
17,2026-01-19,LinkedIn,post,140,10,7,900,2026-01-08 18:07:21.208181
18,2026-01-20,Twitter,text,110,16,9,820,2026-01-08 18:07:21.208181
19,2026-01-21,TikTok,video,1800,260,140,22000,2026-01-08 18:07:21.208181
20,2026-01-22,Instagram,reel,970,125,70,11000,2026-01-08 18:07:21.208181
21,2026-01-23,Facebook,image,300,35,20,2600,2026-01-08 18:07:21.208181
22,2026-01-24,Twitter,image,145,33,15,1050,2026-01-08 18:07:21.208181
23,2026-01-25,LinkedIn,article,275,22,13,2100,2026-01-08 18:07:21.208181
24,2026-01-26,TikTok,video,3900,500,310,45000,2026-01-08 18:07:21.208181
25,2026-01-27,Instagram,carousel,620,85,48,7000,2026-01-08 18:07:21.208181
26,2026-01-28,Facebook,text,105,11,6,740,2026-01-08 18:07:21.208181
27,2026-01-29,Twitter,poll,190,45,23,1500,2026-01-08 18:07:21.208181
28,2026-01-30,LinkedIn,post,180,14,8,1200,2026-01-08 18:07:21.208181
29,2026-01-31,Instagram,video,720,95,55,8400,2026-01-08 18:07:21.208181
30,2026-02-01,TikTok,video,2600,350,210,31000,2026-01-08 18:07:21.208181
